year,month,value
2003,1,62
2003,2,39
2003,3,58
2003,4,29
2003,5,54
2003,6,118
2003,7,108
2003,8,111
2003,9,63
2003,10,52
2003,11,47
2003,12,31
2004,1,16
2004,2,30
2004,3,30
2004,4,45
2004,5,66
2004,6,47
2004,7,68
2004,8,73
2004,9,43
2004,10,49
2004,11,109
2004,12,27
2005,1,35
2005,2,35
2005,3,56
2005,4,40
2005,5,69
2005,6,88
2005,7,62
2005,8,53
2005,9,61
2005,10,42
2005,11,19
2005,12,60
2006,1,27
2006,2,28
2006,3,33
2006,4,50
2006,5,73
2006,6,50
2006,7,62
2006,8,42
2006,9,27
2006,10,46
2006,11,13
2006,12,22
2007,1,30
2007,2,20
2007,3,42
2007,4,59
2007,5,46
2007,6,64
2007,7,70
2007,8,43
2007,9,73
2007,10,38
2007,11,36
2007,12,22
2008,1,38
2008,2,32
2008,3,20
2008,4,67
2008,5,69
2008,6,80
2008,7,70
2008,8,92
2008,9,101
2008,10,35
2008,11,43
2008,12,139
2009,1,27
2009,2,136
2009,3,22
2009,4,46
2009,5,69
2009,6,36
2009,7,64
2009,8,81
2009,9,47
2009,10,43
2009,11,27
2009,12,34
2010,1,29
2010,2,40
2010,3,29
2010,4,36
2010,5,34
2010,6,38
2010,7,36
2010,8,181
2010,9,76
2010,10,46
2010,11,24
2010,12,19
2011,1,31
2011,2,31
2011,3,32
2011,4,32
2011,5,42
2011,6,48
2011,7,65
2011,8,62
2011,9,30
2011,10,58
2011,11,38
2011,12,20
2012,1,11
2012,2,27
2012,3,28
2012,4,53
2012,5,50
2012,6,48
2012,7,52
2012,8,42
2012,9,57
2012,10,24
2012,11,38
2012,12,35
2013,1,22
2013,2,37
2013,3,32
2013,4,62
2013,5,39
2013,6,63
2013,7,215
2013,8,46
2013,9,64
2013,10,31
2013,11,17
2013,12,31
2014,1,26
2014,2,17
2014,3,20
2014,4,51
2014,5,45
2014,6,55
2014,7,45
2014,8,71
2014,9,55
2014,10,35
2014,11,29
2014,12,25
2015,1,33
2015,2,20
2015,3,65
2015,4,28
2015,5,31
2015,6,35
2015,7,57
2015,8,66
2015,9,42
2015,10,35
2015,11,27
2015,12,23
2016,1,24
2016,2,24
2016,3,18
2016,4,34
2016,5,47
2016,6,53
2016,7,60
2016,8,83
2016,9,36
2016,10,24
2016,11,13
2016,12,5
2017,1,
