year,BroadPhaseofFlight,count
2005,LANDING,542
2007,LANDING,540
2004,LANDING,523
2003,LANDING,517
2010,LANDING,494
2011,LANDING,493
2006,LANDING,472
2012,LANDING,471
2009,LANDING,468
2016,LANDING,446
2015,LANDING,407
2003,TAKEOFF,393
2013,LANDING,389
2014,LANDING,386
2009,TAKEOFF,361
2007,TAKEOFF,357
2012,TAKEOFF,354
2005,TAKEOFF,351
2011,TAKEOFF,349
2004,TAKEOFF,341
2015,TAKEOFF,341
2010,TAKEOFF,338
2003,CRUISE,314
2006,TAKEOFF,311
2016,TAKEOFF,304
2004,CRUISE,292
2014,TAKEOFF,286
2005,CRUISE,283
2007,CRUISE,278
2008,LANDING,267
2003,MANEUVERING,265
2013,TAKEOFF,255
2006,CRUISE,250
2008,TAKEOFF,227
2004,MANEUVERING,226
2007,MANEUVERING,225
2011,MANEUVERING,222
2005,MANEUVERING,215
2007,APPROACH,214
2012,MANEUVERING,213
2015,MANEUVERING,212
2006,MANEUVERING,206
2010,MANEUVERING,200
2003,APPROACH,198
2005,APPROACH,196
2009,MANEUVERING,191
2013,MANEUVERING,191
2004,APPROACH,184
2006,APPROACH,182
2014,MANEUVERING,163
2016,MANEUVERING,155
2010,APPROACH,145
2011,APPROACH,145
2008,MANEUVERING,143
2009,APPROACH,143
2012,APPROACH,142
2015,APPROACH,132
2013,APPROACH,131
2014,APPROACH,124
2008,APPROACH,115
2016,APPROACH,110
2016,CRUISE,97
2015,CRUISE,71
2003,DESCENT,65
2003,TAXI,64
2005,CLIMB,63
2009,CRUISE,63
2005,TAXI,61
2005,DESCENT,60
2009,DESCENT,60
2006,TAXI,59
2007,TAXI,59
2004,DESCENT,58
2004,TAXI,54
2011,CRUISE,51
2011,TAXI,51
2003,CLIMB,49
2008,TAXI,48
2006,CLIMB,47
2013,CRUISE,47
2004,CLIMB,46
2007,GO-AROUND,46
2010,DESCENT,46
2014,CRUISE,45
2009,TAXI,44
2010,TAXI,44
2011,DESCENT,44
2006,GO-AROUND,43
2006,STANDING,43
2010,STANDING,43
2015,TAXI,43
2006,DESCENT,41
2007,CLIMB,41
2010,CRUISE,41
2012,CRUISE,41
2003,GO-AROUND,40
2007,DESCENT,40
2005,GO-AROUND,38
2012,CLIMB,38
2012,STANDING,38
2012,TAXI,38
2011,STANDING,37
2016,UNKNOWN,37
2011,GO-AROUND,36
2004,GO-AROUND,35
2014,TAXI,35
2013,TAXI,34
2009,GO-AROUND,33
2009,STANDING,33
2005,STANDING,32
2014,GO-AROUND,32
2015,CLIMB,32
2015,DESCENT,32
2003,STANDING,31
2013,CLIMB,31
2013,GO-AROUND,31
2015,UNKNOWN,31
2013,DESCENT,30
2008,DESCENT,29
2012,GO-AROUND,29
2014,DESCENT,29
2015,STANDING,29
2007,STANDING,28
2016,TAXI,28
2004,STANDING,27
2008,GO-AROUND,27
2009,CLIMB,27
2010,GO-AROUND,27
2016,STANDING,27
2008,CRUISE,26
2011,CLIMB,26
2014,CLIMB,24
2014,STANDING,24
2016,CLIMB,24
2010,CLIMB,23
2012,DESCENT,23
2013,STANDING,23
2016,DESCENT,23
2008,CLIMB,22
2015,GO-AROUND,21
2008,STANDING,20
2016,GO-AROUND,20
2012,UNKNOWN,13
2003,UNKNOWN,12
2005,UNKNOWN,11
2014,UNKNOWN,11
2007,UNKNOWN,10
2009,UNKNOWN,8
2006,UNKNOWN,7
2010,UNKNOWN,7
2004,UNKNOWN,6
2008,UNKNOWN,6
2011,UNKNOWN,6
2013,UNKNOWN,6
2015,OTHER,6
2004,OTHER,5
2012,OTHER,5
2013,OTHER,5
2006,OTHER,4
2008,OTHER,4
2009,OTHER,4
2010,OTHER,4
2011,OTHER,4
2016,OTHER,4
2014,OTHER,3
2003,OTHER,2
2017,LANDING,2
2017,TAKEOFF,2
2017,UNKNOWN,2
2005,OTHER,1
2007,OTHER,1
2017,CLIMB,1
2017,CRUISE,1
2017,GO-AROUND,1
2017,MANEUVERING,1
